Country/Region,unit,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Andorra,tCO2e per capita,6.74,6.51,6.42,6.12,6.12,5.86,5.91,5.90,5.83,5.96,6.07,6.04,6.03,6.10
Djibouti,tCO2e per capita,0.52,0.57,0.61,0.55,0.61,0.55,0.55,0.63,0.42,0.49,0.43,0.40,0.41,0.41
Saint Lucia,tCO2e per capita,2.22,1.75,1.77,1.91,2.10,1.90,1.87,1.73,1.95,2.00,1.85,1.94,1.99,1.93
Guinea-Bissau,tCO2e per capita,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17
Solomon Islands,tCO2e per capita,0.60,0.61,0.61,0.62,0.62,0.64,0.63,0.65,0.56,0.49,0.47,0.45,0.46,0.47
Central African Republic,tCO2e per capita,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.07,0.07,0.06,0.06,0.06
Grenada,tCO2e per capita,2.20,2.26,2.40,2.39,2.45,2.37,2.52,2.81,2.15,2.37,2.43,2.51,2.50,2.57
Samoa,tCO2e per capita,0.91,0.95,0.98,1.01,1.00,1.07,1.05,1.04,1.09,1.21,1.26,1.31,1.37,1.45
Saint Vincent and the Grenadines,tCO2e per capita,1.99,2.40,1.76,2.88,2.03,1.83,2.33,1.92,2.52,1.95,2.31,2.34,2.40,2.33
Palau,tCO2e per capita,11.63,13.20,10.97,10.82,11.63,12.18,12.26,12.49,12.68,12.65,12.61,12.96,13.46,14.26
Comoros,tCO2e per capita,0.26,0.16,0.16,0.20,0.23,0.19,0.20,0.24,0.20,0.22,0.25,0.29,0.30,0.30
Saint Kitts and Nevis,tCO2e per capita,4.26,4.52,4.49,4.60,4.49,4.67,4.41,4.44,4.55,4.58,4.61,4.65,4.75,4.59
Tonga,tCO2e per capita,1.26,1.11,1.17,1.27,1.13,0.99,1.03,1.12,1.12,1.20,1.27,1.54,1.59,1.68
